Date,Station ID,humidity
2024-12-01,00282,0.89
2024-12-02,00282,0.90
2024-12-03,00282,0.94
2024-12-04,00282,0.97
2024-12-05,00282,0.90
2024-12-06,00282,0.84
2024-12-07,00282,0.88
2024-12-08,00282,0.93
2024-12-09,00282,0.79
2024-12-10,00282,0.84
2024-12-11,00282,0.83
2024-12-12,00282,0.84
2024-12-13,00282,0.81
2024-12-14,00282,0.83
2024-12-15,00282,0.87
2024-12-16,00282,0.93
2024-12-17,00282,0.88
2024-12-18,00282,0.80
2024-12-19,00282,0.81
2024-12-20,00282,0.80
2024-12-21,00282,0.86
2024-12-22,00282,0.85
2024-12-23,00282,0.87
2024-12-24,00282,0.88
2024-12-25,00282,0.90
2024-12-26,00282,0.98
2024-12-27,00282,0.95
2024-12-28,00282,0.95
2024-12-29,00282,0.94
2024-12-30,00282,0.95
2024-12-31,00282,0.93
