Date,Station ID,temperature_air_max_2m,temperature_air_mean_2m,temperature_air_min_0_05m,temperature_air_min_2m
2024-12-01,00282,-271.75,-275.35,-281.85,-279.85
2024-12-02,00282,-268.85,-271.55,-274.25,-274.35
2024-12-03,00282,-265.85,-268.95,-277.35,-274.45
2024-12-04,00282,-270.05,-272.45,-277.05,-274.55
2024-12-05,00282,-270.05,-272.05,-274.65,-274.15
2024-12-06,00282,-264.95,-267.25,-270.45,-270.25
2024-12-07,00282,-267.35,-269.35,-275.25,-272.95
2024-12-08,00282,-266.25,-269.85,-276.35,-273.95
2024-12-09,00282,-268.65,-269.75,-271.25,-270.55
2024-12-10,00282,-268.95,-269.95,-271.25,-271.05
2024-12-11,00282,-270.75,-271.55,-272.55,-272.55
2024-12-12,00282,-271.95,-272.65,-273.35,-273.55
2024-12-13,00282,-272.35,-273.15,-274.05,-273.75
2024-12-14,00282,-270.45,-272.25,-273.15,-273.15
2024-12-15,00282,-267.75,-269.95,-272.75,-271.95
2024-12-16,00282,-265.45,-266.65,-268.55,-268.15
2024-12-17,00282,-264.85,-266.25,-267.75,-267.25
2024-12-18,00282,-263.45,-265.95,-270.95,-269.25
2024-12-19,00282,-260.75,-264.65,-270.95,-269.15
2024-12-20,00282,-267.15,-269.75,-276.45,-274.55
2024-12-21,00282,-266.95,-270.05,-275.35,-274.45
2024-12-22,00282,-265.65,-268.45,-273.55,-271.75
2024-12-23,00282,-269.65,-271.15,-274.85,-273.25
2024-12-24,00282,-268.25,-271.05,-274.65,-273.55
2024-12-25,00282,-267.95,-272.45,-277.55,-275.75
2024-12-26,00282,-272.75,-274.85,-278.35,-276.85
2024-12-27,00282,-270.05,-274.95,-279.15,-277.15
2024-12-28,00282,-274.55,-276.35,-280.85,-279.75
2024-12-29,00282,-273.75,-274.55,-275.15,-275.25
2024-12-30,00282,-273.95,-274.45,-274.75,-275.05
2024-12-31,00282,-274.35,-275.35,-278.55,-276.05
