Date,Max Temperature (°C),Min Temperature (°C),Average Temperature (°C),Max Wind Speed (m/s)
2023-07-10,30.0,19.2,24.6,18.4
2023-07-11,34.1,17.5,25.8,20.9
2023-07-12,27.6,19.3,23.45,22.0
2023-07-13,24.7,16.0,20.35,18.1
2023-07-14,28.1,13.2,20.65,10.3
2023-07-15,35.5,17.2,26.35,17.4
2023-07-16,27.3,19.2,23.25,20.8
2023-07-17,26.9,16.7,21.8,21.7
2023-07-18,27.5,13.1,20.3,10.0
2023-07-19,28.7,14.7,21.7,21.1
2023-07-20,24.1,14.9,19.5,15.7
2023-07-21,24.2,14.2,19.2,16.6
2023-07-22,23.7,12.2,17.95,15.5
2023-07-23,27.0,14.3,20.65,25.5
2023-07-24,25.7,17.2,21.45,23.4
2023-07-25,20.6,14.1,17.35,18.1
2023-07-26,17.5,12.4,14.95,16.6
2023-07-27,17.7,10.7,14.2,14.6
2023-07-28,23.8,16.6,20.2,19.2
2023-07-29,24.1,16.6,20.35,21.3
2023-07-30,21.9,15.4,18.65,26.1
2023-07-31,22.5,15.3,18.9,20.9
2023-08-01,21.1,15.5,18.3,22.0
2023-08-02,19.8,13.9,16.85,20.9
2023-08-03,21.8,15.6,18.7,30.8
2023-08-04,20.5,13.7,17.1,11.3
2023-08-05,22.0,13.8,17.9,11.5
2023-08-06,19.2,12.7,15.95,26.8
2023-08-07,15.6,11.3,13.45,29.9
2023-08-08,20.0,10.2,15.1,24.6
2023-08-09,21.0,12.0,16.5,16.9
2023-08-10,22.5,9.5,16.0,7.8
2023-08-11,26.9,11.4,19.15,8.3
2023-08-12,28.0,16.8,22.4,11.4
2023-08-13,24.5,17.9,21.2,11.8
2023-08-14,30.2,18.2,24.2,13.1
2023-08-15,28.7,18.3,23.5,14.8
2023-08-16,27.7,17.4,22.55,11.2
2023-08-17,28.3,18.9,23.6,14.1
2023-08-18,29.7,16.0,22.85,9.8
2023-08-19,32.0,17.7,24.85,9.6
2023-08-20,31.3,20.9,26.1,10.1
