Date,Station ID,cloud_cover_total
2024-12-01,00282,Clear
2024-12-02,00282,Clear
2024-12-03,00282,Clear
2024-12-04,00282,Clear
2024-12-05,00282,Clear
2024-12-06,00282,Clear
2024-12-07,00282,Clear
2024-12-08,00282,Clear
2024-12-09,00282,Clear
2024-12-10,00282,Clear
2024-12-11,00282,Clear
2024-12-12,00282,Clear
2024-12-13,00282,Clear
2024-12-14,00282,Clear
2024-12-15,00282,Clear
2024-12-16,00282,Clear
2024-12-17,00282,Clear
2024-12-18,00282,Clear
2024-12-19,00282,Clear
2024-12-20,00282,Clear
2024-12-21,00282,Clear
2024-12-22,00282,Clear
2024-12-23,00282,Clear
2024-12-24,00282,Clear
2024-12-25,00282,Clear
2024-12-26,00282,Clear
2024-12-27,00282,Clear
2024-12-28,00282,Clear
2024-12-29,00282,Clear
2024-12-30,00282,Clear
2024-12-31,00282,Clear
